House Price ,Year ,Bank Rate ,Population ,No House ,Number of houses built ,Pop_Nohouse
37157,1986,10.96,49998600,21203250,170360,2.358063033
41410,1987,9.38,50123000,21373610,178290,2.345088172
51168,1988,9.46,50253600,21551900,193810,2.331748013
57632,1989,14.02,50407800,21745710,174950,2.318057217
62446,1990,13.88,50560600,21920660,163910,2.306527267
64584,1991,11.88,50748000,22084570,154600,2.297893959
63071,1992,8.38,50875600,22239170,143830,2.287657318
63983,1993,5.63,50985900,22383000,147840,2.277885002
66815,1994,5.63,51116200,22530840,154640,2.26872145
67342,1995,6.51,51272000,22685480,157140,2.260124097
71386,1996,5.93,51410400,22842620,149090,2.250634997
77898,1997,6.75,51559600,22991710,149500,2.242530025
83575,1998,6.94,51720100,23141210,142650,2.234978206
94768,1999,5.42,51933500,23283860,141010,2.230450621
105021,2000,5.88,52140200,23424870,135090,2.225847998
117161,2001,4.96,52360000,23559960,129500,2.222414639
134361,2002,4,52602100,23689460,136800,2.220485397
163221,2003,3.67,52863200,23826260,144060,2.218694835
188943,2004,4.38,53152000,23970320,154070,2.217408862
199790,2005,4.63,53575300,24124390,159450,2.220793977
211348,2006,4.88,53950900,24283840,160860,2.221679108
229162,2007,5.5,54387400,24444700,176640,2.22491583
233789,2008,3.95,54841700,24621340,148010,2.22740517
230266,2009,1,55235300,24769350,124980,2.229985849
256884,2010,0.5,55692400,24894330,106730,2.237151994
251170,2011,0.5,56170900,25001060,114030,2.246740738
251884,2012,0.5,56567800,25115090,115590,2.252343113
257148,2013,0.5,56948200,25230680,109450,2.257101275
273904,2014,0.5,57408700,25340130,117820,2.265525078
285771,2015,0.5,57885400,25457950,142480,2.27376517
292674,2016,0.25,58381200,25600430,141880,2.28047732
292014,2017,0.5,58744600,25742310,162470,2.282025195
294432,2018,0.75,59115800,25904780,165490,2.282042156
294228,2019,0.75,59439800,26070270,177880,2.279984058
315472,2020,0.18,59720000,26248150,146630,2.275207967
336197,2021,0.25,59641800,26394780,174930,2.259605877
