Average House price ,Date ,Mortgage rate ,Pop/house,Region 
"24,000 ",1986,10.96,2.358063033,North East 
"27,000 ",1987,9.38,2.345088172,North East 
"30,000 ",1988,9.46,2.331748013,North East 
"36,000 ",1989,14.02,2.318057217,North East 
"41,000 ",1990,13.88,2.306527267,North East 
"45,000 ",1991,11.88,2.297893959,North East 
"47,000 ",1992,8.38,2.287657318,North East 
"49,000 ",1993,5.63,2.277885002,North East 
"49,000 ",1994,5.63,2.26872145,North East 
"47,000 ",1995,6.51,2.260124097,North East 
"51,000 ",1996,5.93,2.250634997,North East 
"53,000 ",1997,6.75,2.242530025,North East 
"56,000 ",1998,6.94,2.234978206,North East 
"62,000 ",1999,5.42,2.230450621,North East 
"64,000 ",2000,5.88,2.225847998,North East 
"70,000 ",2001,4.96,2.222414639,North East 
"79,000 ",2002,4.00,2.220485397,North East 
"100,000 ",2003,3.67,2.218694835,North East 
"127,000 ",2004,4.38,2.217408862,North East 
"135,000 ",2005,4.63,2.220793977,North East 
"141,000 ",2006,4.88,2.221679108,North East 
"152,000 ",2007,5.50,2.22491583,North East 
"159,000 ",2008,3.95,2.22740517,North East 
"157,000 ",2009,1.00,2.229985849,North East 
"162,000 ",2010,0.50,2.237151994,North East 
"153,000 ",2011,0.50,2.246740738,North East 
"153,000 ",2012,0.50,2.252343113,North East 
"154,000 ",2013,0.50,2.257101275,North East 
"162,000 ",2014,0.50,2.265525078,North East 
"168,000 ",2015,0.50,2.27376517,North East 
"169,000 ",2016,0.25,2.28047732,North East 
"168,000 ",2017,0.50,2.282025195,North East 
"169,000 ",2018,0.75,2.282042156,North East 
"171,000 ",2019,0.75,2.279984058,North East 
"180,000 ",2020,0.18,2.275207967,North East 
"192,000 ",2021,0.25,2.259605877,North East 
"34,000 ",1988,9.46,2.331748013,North West
"42,000 ",1989,14.02,2.318057217,North West
"50,000 ",1990,13.88,2.306527267,North West
"53,000 ",1991,11.88,2.297893959,North West
"57,000 ",1992,8.38,2.287657318,North West
"56,000 ",1993,5.63,2.277885002,North West
"57,000 ",1994,5.63,2.26872145,North West
"56,000 ",1995,6.51,2.260124097,North West
"58,000 ",1996,5.93,2.250634997,North West
"63,000 ",1997,6.75,2.242530025,North West
"66,000 ",1998,6.94,2.234978206,North West
"72,000 ",1999,5.42,2.230450621,North West
"78,000 ",2000,5.88,2.225847998,North West
"82,000 ",2001,4.96,2.222414639,North West
"92,000 ",2002,4.00,2.220485397,North West
"115,000 ",2003,3.67,2.218694835,North West
"139,000 ",2004,4.38,2.217408862,North West
"149,000 ",2005,4.63,2.220793977,North West
"158,000 ",2006,4.88,2.221679108,North West
"170,000 ",2007,5.50,2.22491583,North West
"175,000 ",2008,3.95,2.22740517,North West
"174,000 ",2009,1.00,2.229985849,North West
"183,000 ",2010,0.50,2.237151994,North West
"175,000 ",2011,0.50,2.246740738,North West
"174,000 ",2012,0.50,2.252343113,North West
"175,000 ",2013,0.50,2.257101275,North West
"184,000 ",2014,0.50,2.265525078,North West
"192,000 ",2015,0.50,2.27376517,North West
"197,000 ",2016,0.25,2.28047732,North West
"198,000 ",2017,0.50,2.282025195,North West
"202,000 ",2018,0.75,2.282042156,North West
"205,000 ",2019,0.75,2.279984058,North West
"217,000 ",2020,0.18,2.275207967,North West
"237,000 ",2021,0.25,2.259605877,North West
"26,000 ",1986,10.96,2.358063033,Yorkshire Humber
"28,000 ",1987,9.38,2.345088172,Yorkshire Humber
"33,000 ",1988,9.46,2.331748013,Yorkshire Humber
"42,000 ",1989,14.02,2.318057217,Yorkshire Humber
"47,000 ",1990,13.88,2.306527267,Yorkshire Humber
"52,000 ",1991,11.88,2.297893959,Yorkshire Humber
"52,000 ",1992,8.38,2.287657318,Yorkshire Humber
"55,000 ",1993,5.63,2.277885002,Yorkshire Humber
"54,000 ",1994,5.63,2.26872145,Yorkshire Humber
"54,000 ",1995,6.51,2.260124097,Yorkshire Humber
"56,000 ",1996,5.93,2.250634997,Yorkshire Humber
"60,000 ",1997,6.75,2.242530025,Yorkshire Humber
"62,000 ",1998,6.94,2.234978206,Yorkshire Humber
"67,000 ",1999,5.42,2.230450621,Yorkshire Humber
"72,000 ",2000,5.88,2.225847998,Yorkshire Humber
"76,000 ",2001,4.96,2.222414639,Yorkshire Humber
"88,000 ",2002,4.00,2.220485397,Yorkshire Humber
"114,000 ",2003,3.67,2.218694835,Yorkshire Humber
"137,000 ",2004,4.38,2.217408862,Yorkshire Humber
"148,000 ",2005,4.63,2.220793977,Yorkshire Humber
"158,000 ",2006,4.88,2.221679108,Yorkshire Humber
"170,000 ",2007,5.50,2.22491583,Yorkshire Humber
"173,000 ",2008,3.95,2.22740517,Yorkshire Humber
"176,000 ",2009,1.00,2.229985849,Yorkshire Humber
"182,000 ",2010,0.50,2.237151994,Yorkshire Humber
"171,000 ",2011,0.50,2.246740738,Yorkshire Humber
"171,000 ",2012,0.50,2.252343113,Yorkshire Humber
"172,000 ",2013,0.50,2.257101275,Yorkshire Humber
"182,000 ",2014,0.50,2.265525078,Yorkshire Humber
"188,000 ",2015,0.50,2.27376517,Yorkshire Humber
"192,000 ",2016,0.25,2.28047732,Yorkshire Humber
"192,000 ",2017,0.50,2.282025195,Yorkshire Humber
"196,000 ",2018,0.75,2.282042156,Yorkshire Humber
"199,000 ",2019,0.75,2.279984058,Yorkshire Humber
"210,000 ",2020,0.18,2.275207967,Yorkshire Humber
"228,000 ",2021,0.25,2.259605877,Yorkshire Humber
"28,000 ",1986,10.96,2.358063033,East Midlands
"32,000 ",1987,9.38,2.345088172,East Midlands
"41,000 ",1988,9.46,2.331748013,East Midlands
"49,000 ",1989,14.02,2.318057217,East Midlands
"53,000 ",1990,13.88,2.306527267,East Midlands
"56,000 ",1991,11.88,2.297893959,East Midlands
"55,000 ",1992,8.38,2.287657318,East Midlands
"54,000 ",1993,5.63,2.277885002,East Midlands
"55,000 ",1994,5.63,2.26872145,East Midlands
"55,000 ",1995,6.51,2.260124097,East Midlands
"59,000 ",1996,5.93,2.250634997,East Midlands
"62,000 ",1997,6.75,2.242530025,East Midlands
"66,000 ",1998,6.94,2.234978206,East Midlands
"72,000 ",1999,5.42,2.230450621,East Midlands
"79,000 ",2000,5.88,2.225847998,East Midlands
"87,000 ",2001,4.96,2.222414639,East Midlands
"105,000 ",2002,4.00,2.220485397,East Midlands
"132,000 ",2003,3.67,2.218694835,East Midlands
"154,000 ",2004,4.38,2.217408862,East Midlands
"161,000 ",2005,4.63,2.220793977,East Midlands
"164,000 ",2006,4.88,2.221679108,East Midlands
"176,000 ",2007,5.50,2.22491583,East Midlands
"177,000 ",2008,3.95,2.22740517,East Midlands
"172,000 ",2009,1.00,2.229985849,East Midlands
"185,000 ",2010,0.50,2.237151994,East Midlands
"179,000 ",2011,0.50,2.246740738,East Midlands
"177,000 ",2012,0.50,2.252343113,East Midlands
"178,000 ",2013,0.50,2.257101275,East Midlands
"188,000 ",2014,0.50,2.265525078,East Midlands
